INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2024-04-19T01:00:00-00:00,2024-04-19T02:00:00-00:00,2024-04-18,19,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-19T00:00:00-00:00,2024-04-19T01:00:00-00:00,2024-04-18,18,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-19T05:00:00-00:00,2024-04-19T06:00:00-00:00,2024-04-18,23,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-19T04:00:00-00:00,2024-04-19T05:00:00-00:00,2024-04-18,22,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-19T03:00:00-00:00,2024-04-19T04:00:00-00:00,2024-04-18,21,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-19T06:00:00-00:00,2024-04-19T07:00:00-00:00,2024-04-18,24,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MGHG,LMP_GHG_PRC,CATALYST_7_N002,ALL,1,0,5
2024-04-19T01:00:00-00:00,2024-04-19T02:00:00-00:00,2024-04-18,19,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,49.12467,6
2024-04-19T00:00:00-00:00,2024-04-19T01:00:00-00:00,2024-04-18,18,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,44.96139,6
2024-04-19T03:00:00-00:00,2024-04-19T04:00:00-00:00,2024-04-18,21,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,46.41078,6
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,53.79372,6
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,20.78013,6
2024-04-19T05:00:00-00:00,2024-04-19T06:00:00-00:00,2024-04-18,23,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,36.5618,6
2024-04-19T04:00:00-00:00,2024-04-19T05:00:00-00:00,2024-04-18,22,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,42.09231,6
2024-04-19T06:00:00-00:00,2024-04-19T07:00:00-00:00,2024-04-18,24,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,LMP,LMP_PRC,EMBRCDR_2_N104,ALL,1,33.13693,6
2024-04-19T00:00:00-00:00,2024-04-19T01:00:00-00:00,2024-04-18,18,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,18.02082,7
2024-04-18T23:00:00-00:00,2024-04-19T00:00:00-00:00,2024-04-18,17,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,14.23037,7
2024-04-19T01:00:00-00:00,2024-04-19T02:00:00-00:00,2024-04-18,19,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,-0.66494,7
2024-04-19T06:00:00-00:00,2024-04-19T07:00:00-00:00,2024-04-18,24,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,0,7
2024-04-19T05:00:00-00:00,2024-04-19T06:00:00-00:00,2024-04-18,23,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,-2.05989,7
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,-4.90326,7
2024-04-19T04:00:00-00:00,2024-04-19T05:00:00-00:00,2024-04-18,22,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,-3.89763,7
2024-04-19T03:00:00-00:00,2024-04-19T04:00:00-00:00,2024-04-18,21,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCC,LMP_CONG_PRC,EMBRCDR_2_N104,ALL,1,-3.32374,7
2024-04-19T03:00:00-00:00,2024-04-19T04:00:00-00:00,2024-04-18,21,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,47.80326,8
2024-04-19T00:00:00-00:00,2024-04-19T01:00:00-00:00,2024-04-18,18,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,25.2229,8
2024-04-19T04:00:00-00:00,2024-04-19T05:00:00-00:00,2024-04-18,22,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,44.56821,8
2024-04-19T06:00:00-00:00,2024-04-19T07:00:00-00:00,2024-04-18,24,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,32.12811,8
2024-04-19T02:00:00-00:00,2024-04-19T03:00:00-00:00,2024-04-18,20,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,56.58086,8
2024-04-19T01:00:00-00:00,2024-04-19T02:00:00-00:00,2024-04-18,19,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,47.30155,8
2024-04-19T05:00:00-00:00,2024-04-19T06:00:00-00:00,2024-04-18,23,0,EMBRCDR_2_N104,EMBRCDR_2_N104,EMBRCDR_2_N104,DAM,MCE,LMP_ENE_PRC,EMBRCDR_2_N104,ALL,1,37.15053,8
